08/20/2025 06:58:43 P,CHAR LENGHT,ID,VISIBILITY,"DATE 
ADDED",SKU,NAME,ADDITIONAL NOTES,APPLICATION NOTES,PART NUMBER,PRODUCT CATEGORY,TYPE,(OLD UPC),GTIN,YEAR,PRIMARY OEM,"Additional 
OEM#",Catalog Group,MANUFACTURER,MAKE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,ENGINE 1,Condition,IS REMAN?,ASSOCIATED CORE,CORE TYPE,JUMPFLY CATEGORY,VENDOR,VENDOR PART NUMBER,NEW QB,QB ACCOUNT,WARRANTY, PRICE , Drive On Diesel Price , VENDOR COST , ACTUAL COST , EST COST ,PROFIT,PROFIT  %,WEIGHT,"CHARGE CORE
UPFRONT",HAS CORE, CORE PRICE ,"GROUP 
NUMBER",ADF,PRICE,Non Stocking Distributor, PRICE ,Stocking Distributor, PRICE ,Non Stocking WD, PRICE ,Stocking WD, PRICE ,10%, PRICE ,15%, PRICE 
,,8120,Both,5/27/2023,283942RM,Cummins QSL Turbo Assembly 1995-2006: OEM 87701316R,"Case IH, CNH 325HP",,283942RM,Turbos,Turbo Assembly,,00840490517707,1995-2006,87701316R,"87355331, 84269952R, 4046101, 4037513, 4040255, 283942H, 4046106, 2839423H",C4,Tamerx Diesel Products,Cummins,QSL,,,,,,,,Yes,"283942RM#C, 283942RM-C30",In House Core,Turbos,Tamerx,283942RM,Turbochargers,Turbochargers,One Million Miles or One Year," $ 1,800.00 "," $ 1,800.00 "," $ 1,000.00 "," $ 1,000.00 "," $ 1,000.00 ",$800.00,44.44%,27,NO,YES, $ 550.00 ,,FIXED PRICE,"$1,440.00",0%," $ 1,800.00 ",15.00%," $ 1,530.00 ",15.00%," $ 1,530.00 ",25.00%," $ 1,350.00 ",10.00%," $ 1,620.00 ",15.00%," $ 1,530.00 "
08/15/2025 08:57:40 P,,8220,Both,6/5/2023,5604177RM-WA,Cummins ISB 6.7-260 Turbo Assembly 2014-2017: OEM 5604177RX,Blue Bird Bus EPA13 CPL#4570,,5604177RM-WA,Turbos,Turbo Assembly,,00840490518162,2014-2017,5604177RX,"5354479, 5354485, 5604157, 6410971, 5354522RX,",C2,Tamerx Diesel Products,Cummins,ISB 6.7L-260,,,,,,,,Yes,"5604177RM-WA#C, 5604177RM-WA-C30",Vendor R & R,Turbos,TamerX Turbo,5354522,,,One Million Miles or One Year," $ 4,270.00 "," $ 4,270.00 "," $ 1,000.00 "," $ 1,075.00 "," $ 1,075.00 ","$3,195.00",74.82%,58,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$3,416.00",0%," $ 4,270.00 ",15.00%," $ 3,629.50 ",20.00%," $ 3,416.00 ",25.00%," $ 3,202.50 ",10.00%," $ 3,843.00 ",15.00%," $ 3,629.50 "
12/09/2023 04:17:22 A,,8278,Both,6/6/2023,5354522RM-WA,Cummins ISB 6.7L 260 Turbo Assembly 2014-2021: OEM 5354522RX,"Bluebird Bus, Supplied with Actuator 6372096RX, Calibrated and installed",,5354522RM-WA,Turbos,Turbo Assembly,,00840490518360,2014-2021,5354522RX,,C2,Tamerx Diesel Products,Cummins,ISB 6.7L 260,,,,,,,,Yes,"5354522RM-WA#C, 5354522RM-WA-C30",Vendor R & R,Turbos,TamerX Turbo,5354522,Turbochargers,Turbochargers,," $ 4,495.00 "," $ 4,495.00 "," $ 1,775.00 "," $ 1,800.00 "," $ 1,800.00 ","$2,695.00",59.96%,50,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$3,596.00",0%," $ 4,495.00 ",15.00%," $ 3,820.75 ",15.00%," $ 3,820.75 ",25.00%," $ 3,371.25 ",10.00%," $ 4,045.50 ",15.00%," $ 3,820.75 "
10/28/2024 09:22:40 P,,8393,Both,6/27/2023,5458261RM-WA,"Cummins ISX12, QSX Turbo Assembly 2014-2017: OEM 5458261RX",CPL# 3711,,5458261RM-WA,Turbos,Turbo Assembly,,00840490518780,2014-2017,5458261RX,"3796388, 3798513, 3798517, 5456481",C1,,Cummins,ISX12,QSX,,,,,,,Yes,"5458261RM-WA#C, 5458261RM-WA-C30",Vendor R & R,Turbos,TamerX Turbo,5458261,Turbochargers,Turbochargers,One Million Miles or One Year," $ 4,270.00 "," $ 4,270.00 "," $ 1,875.00 "," $ 2,250.00 "," $ 2,250.00 ","$2,020.00",47.31%,62,NO,YES," $ 1,800.00 ",,FIXED PRICE,"$3,416.00",0%," $ 4,270.00 ",15.00%," $ 3,629.50 ",20.00%," $ 3,416.00 ",25.00%," $ 3,202.50 ",10.00%," $ 3,843.00 ",15.00%," $ 3,629.50 "
08/15/2025 08:57:58 P,,8397,Both,6/27/2023,3798319RM-WA,Paccar ISB 6.7 300 Turbo Assembly 2013-2017: OEM 3798318RX,,,3798319RM-WA,Turbos,Turbo Assembly,,00840490518803,2013-2017,3798318RX,"3796388, 3798513, 3798517, 5456481, 3798318RX, 3798319RX",P1,Tamerx Diesel Products,Paccar,ISB 6.7L-300,,,,,,,,Yes,"3798319RM-WA#C, 3798319RM-WA-C30",Vendor R & R,Turbos,TamerX Turbo,3796023,Turbochargers,Turbochargers,," $ 3,320.00 "," $ 3,320.00 "," $ 1,875.00 "," $ 2,250.00 "," $ 2,250.00 ","$1,070.00",32.23%,52,NO,YES," $ 1,250.00 ",,FIXED PRICE,"$2,656.00",0%," $ 3,320.00 ",15.00%," $ 2,822.00 ",20.00%," $ 2,656.00 ",25.00%," $ 2,490.00 ",10.00%," $ 2,988.00 ",15.00%," $ 2,822.00 "
12/07/2024 12:37:21 A,,8413,Both,7/10/2023,5458387RM-WA,"Cummins ISL9, Paccar PX8-330 Turbo Assembly 2011-2016: OEM 5458387RX",Kenworth,,5458387RM-WA,Turbos,Turbo Assembly,,00840490518865,2011-2016,5458387RX,,C3,Tamerx Diesel Products,Cummins,ISL9,Paccar PX8-330,,,,,,,Yes,"5458387RM-WA#C, 5458387RM-WA-C30",Vendor R & R,Turbos,TamerX Turbo,5458387,Turbochargers,Turbochargers,One Million Miles or One Year," $ 6,170.00 "," $ 6,170.00 "," $ 3,500.00 "," $ 3,600.00 "," $ 3,600.00 ","$2,570.00",41.65%,50,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$4,936.00",0%," $ 6,170.00 ",15.00%," $ 5,244.50 ",20.00%," $ 4,936.00 ",25.00%," $ 4,627.50 ",10.00%," $ 5,553.00 ",15.00%," $ 5,244.50 "
07/11/2023 06:36:16 P,,8416,Both,7/10/2023,5609888RM-WA,Cummins X15 Turbo Assembly 2022-2024: OEM 5609888RX,w/Actuator,"EPA21, CPL 5479, 565HP",5609888RM-WA,Turbos,Turbo Assembly,,00840490518872,2022-2024,5609888RX,"5610129, 5609888, 5609888RX, 5609888NX, 6395630RX, 6395630NX, 6395630",C1,Tamerx Diesel Products,Cummins,X15,,,,,,,Remanufactured,Yes,"5609888RM-WA#C, 5609888RM-WA-C30",Vendor R & R,Turbos,TamerX Turbo,5609888,Turbochargers,Turbochargers,One Million Miles or One Year," $ 4,745.00 "," $ 4,745.00 "," $ 2,900.00 "," $ 3,000.00 "," $ 3,000.00 ","$1,745.00",36.78%,50,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$3,796.00",0%," $ 4,745.00 ",15.00%," $ 4,033.25 ",20.00%," $ 3,796.00 ",25.00%," $ 3,558.75 ",10.00%," $ 4,270.50 ",15.00%," $ 4,033.25 "
12/18/2023 10:14:35 P,,8497,Both,7/27/2023,5327374RM,Cummins QSB 6.7L Turbo Assembly 2013-2018: OEM 5327374RX,,"Komatsu, CPL3856, 3857",5327374RM,Turbos,Turbo Assembly,,00840490519138,2013-2018,5327374RX,"4352157, 5327373, 5327374, 3789620, 3789600, 5327369, 3789593, 4352162, 3789601, 3789625, 3781639, 3789600, 3781639, 3781642, 3781643, 3781644, 3781645, 3781647, 3781647NX, 3781647RX, 3789600, 3789601, 3789601NX, 3789601RX, 3789620, 3789621, 3789622, 3789623, 43521643789625, 3789625NX, 532737637923789625RX,5327324, 5327325, 5327326, 5327327, 5327369, 5327370, 5327371, 5327372, 5327373, 5327373NX, 5327373RX, 5327374, 5327374NX, 5327374RX, 5327375, 5327375NX, 5327375RX, 5327376, 5327376NX, 5327376RX, 5328074, 5328271, 5328271NX, 5328271RX, 5501336, 3792328, 3792327, 5328273, 5328074",C2,Tamerx Diesel Products,Cummins,QSB 6.7L,,,,,,,,Yes,"5327374RM#C, 5327374RM-C30",Vendor R & R,Turbos,TamerX Turbo,5327360,Turbochargers,Turbochargers,One Million Miles or One Year," $ 4,450.00 "," $ 4,450.00 "," $ 1,500.00 "," $ 1,600.00 "," $ 1,600.00 ","$2,850.00",64.04%,60,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$3,560.00",0%," $ 4,450.00 ",15.00%," $ 3,782.50 ",15.00%," $ 3,782.50 ",25.00%," $ 3,337.50 ",10.00%," $ 4,005.00 ",15.00%," $ 3,782.50 "
09/05/2024 12:17:21 A,,8500,Both,7/27/2023,5459452RM,Cummins X15 Turbo Assembly 2018-2020: OEM 5459452RX,,,5459452RM,Turbos,Turbo Assembly,,00840490519145,2018-2020,5459452RX,,C1,Tamerx Diesel Products,Cummins,X15,,,,,,,,Yes,"5459452RM#C, 5459452RM-C30",Vendor R & R,Turbos,TamerX Turbo,5459711,Turbochargers,Turbochargers,One Million Miles or One Year," $ 2,802.00 "," $ 2,802.00 "," $ 1,875.00 "," $ 1,900.00 "," $ 1,900.00 ",$902.00,32.19%,60,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$2,241.60",0%," $ 2,802.00 ",30.00%," $ 1,961.40 ",25.00%," $ 2,101.50 ",25.00%," $ 2,101.50 ",10.00%," $ 2,521.80 ",15.00%," $ 2,381.70 "
07/21/2025 06:14:59 P,,8503,Both,7/27/2023,5327374RM-WA,Cummins QSB 6.7L Turbo Assembly 2013-2018: OEM 5328273RX,W/24 Volt Actuator,"Komatsu, CPL3856, 3857",5327374RM-WA,Turbos,Turbo Assembly,,00840490519152,2013-2018,5328273RX,"3792328, 3792327, 5328273, 5328074, 4352157, 5327373, 5327374, 3789620, 3789600, 5327369, 3789593, 4352162, 3789601, 3789625, 3781639, 3789600, 3781639, 3781642, 3781643, 3781644, 3781645, 3781647, 3781647NX, 3781647RX, 3789600, 3789601, 3789601NX, 3789601RX, 3789620, 5328271, 5328272, 5328273, 3789621, 3789622, 3789623, 3789625, 3789625NX, 3789625RX,5327324, 5327325, 5327326, 5327327, 5327369, 5327370, 5327371, 5327372, 5327373, 5327373NX, 5327373RX, 5327374, 5327374NX, 5327374RX, 5327375, 5327375NX, 5327375RX, 5327376, 5327376NX, 5327376RX, 5328074, 5328271, 5328271NX, 5328271RX, 5501336, 4352164",C2,Tamerx Diesel Products,Cummins,QSB 6.7L,,,,,,,,Yes,"5327374RM-WA#C, 5327374RM-WA-C30",Vendor R & R,Turbos,TamerX Turbo,5327360,Turbochargers,Turbochargers,One Million Miles or One Year," $ 5,250.00 "," $ 5,250.00 "," $ 1,500.00 "," $ 1,600.00 "," $ 1,600.00 ","$3,650.00",69.52%,60,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$4,200.00",0%," $ 5,250.00 ",15.00%," $ 4,462.50 ",20.00%," $ 4,200.00 ",25.00%," $ 3,937.50 ",10.00%," $ 4,725.00 ",15.00%," $ 4,462.50 "
04/10/2024 12:39:39 A,,8604,Both,8/4/2023,5604188RM,Cummins ISB 6.7L Turbo Assembly 2018-2021: OEM 5604188,,,5604188RM,Turbos,Turbo Assembly,,00840490519497,2018-2021,5604188,"5355647, 170-032-3789, 5354476, 5601437, 5604188, 5605001, 5640309, 5640432, 5354495, 170-032-3789, 5354552, 5501360, 5604945, 5605001, 6411490",C2,Tamerx Diesel Products,Cummins,ISB 6.7L,,,,,,,,Yes,"5604188RM#C, 5604188RM-C30",Vendor R & R,Turbos,TamerX Turbo,5604188,Turbochargers,Turbochargers,One Million Miles or One Year," $ 4,495.00 "," $ 4,495.00 ", $ 500.00 , $ 550.00 , $ 550.00 ,"$3,945.00",87.76%,45,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$3,596.00",0%," $ 4,495.00 ",15.00%," $ 3,820.75 ",20.00%," $ 3,596.00 ",25.00%," $ 3,371.25 ",10.00%," $ 4,045.50 ",15.00%," $ 3,820.75 "
06/29/2024 02:34:59 A,,8619,Both,8/4/2023,5605001RM-WA,Cummins ISB 6.7L Turbo Assembly 2018-2021: OEM 5605001RX,"HE300VG, With Actuator",,5605001RM-WA,Turbos,Turbo Assembly,,00840490519541,2018-2021,5605001RX,"5355647, 170-032-3789, 5354476, 5601437, 5604188, 5605001, 5640309, 5640432, 5354495, 170-032-3789, 5354552, 5501360, 5604945, 5605001, 6411490",C2,Tamerx Diesel Products,Cummins,ISB 6.7L,,,,,,,,Yes,"5605001RM-WA#C, 5605001RM-WA-C30",Vendor R & R,Turbos,Tamerx,5604188,Turbochargers,Turbochargers,One Million Miles or One Year," $ 4,495.00 "," $ 4,495.00 "," $ 2,200.00 "," $ 2,200.00 "," $ 2,200.00 ","$2,295.00",51.06%,45,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$3,596.00",0%," $ 4,495.00 ",15.00%," $ 3,820.75 ",20.00%," $ 3,596.00 ",25.00%," $ 3,371.25 ",10.00%," $ 4,045.50 ",15.00%," $ 3,820.75 "
04/19/2024 10:34:30 P,,8643,Both,8/14/2023,5013151R91,International Navistar A26 Turbo Assembly 2016-2019: OEM 5013151R91,,,5013151R91,Turbos,Turbo Assembly,,00840490519626,2016-2019,5013151R91,2517623C92,N3,Tamerx Diesel Products,International Navistar,A26,,,,,,,,Yes,"5013151R91#C, 5013151R91-C30",Vendor R & R,Turbos,Tamerx,5013151R91,Turbochargers,Turbochargers,One Million Miles or One Year," $ 2,750.00 "," $ 2,750.00 "," $ 1,850.00 "," $ 1,900.00 "," $ 1,900.00 ",$850.00,30.91%,52,NO,YES, $ 750.00 ,,FIXED PRICE,"$2,200.00",0%," $ 2,750.00 ",15.00%," $ 2,337.50 ",15.00%," $ 2,337.50 ",25.00%," $ 2,062.50 ",10.00%," $ 2,475.00 ",15.00%," $ 2,337.50 "
,,8661,Both,8/18/2023,5604194RX,Cummins ISB 6.7L Turbo Assembly 2018-2021: OEM 6411201RX,HE300VG,,5604194RX,Turbos,Turbo Assembly,,00840490519701,2018-2021,6411201RX,"5601415, 5355658, 5355504, 5354473, 5354488, 5604194",C2,Cummins Holset,Cummins,ISB 6.7L,,,,,,,Genuine Remanufactured,Yes,"5604194RX#C, 5604194RX-C30",In House Core,Turbos,Tamerx,5604194RX,Turbochargers,Turbochargers,One Million Miles or One Year," $ 5,495.00 "," $ 5,495.00 "," $ 1,750.00 "," $ 1,800.00 "," $ 1,800.00 ","$3,695.00",67.24%,56,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$4,670.75",0%," $ 5,495.00 ",15.00%," $ 4,670.75 ",15.00%," $ 4,670.75 ",20.00%," $ 4,396.00 ",10.00%," $ 4,945.50 ",15.00%," $ 4,670.75 "
,,8667,Both,8/18/2023,5321698RM,Cummins QSB 6.7L Turbo Assembly : OEM 5321698RX,"Komatsu, Hyundai",,5321698RM,Turbos,Turbo Assembly,,00840490519725,,5321698RX,"4352387, 5321698, 378850, 2881983, 2881982, 3768842, 5552076, 5552067",C2,Tamerx Diesel Products,Cummins,QSB 6.7L,,,,,,,,Yes,"5321698RM#C, 5321698RM-C30",In House Core,Turbos,TamerX Turbo,4352387,Turbochargers,Turbochargers,One Million Miles or One Year," $ 4,495.00 "," $ 4,495.00 "," $ 2,200.00 "," $ 2,300.00 "," $ 2,300.00 ","$2,195.00",48.83%,48,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$2,621.60",0%," $ 4,495.00 ",15.00%," $ 3,820.75 ",20.00%," $ 3,596.00 ",25.00%," $ 3,371.25 ",10.00%," $ 4,045.50 ",15.00%," $ 3,820.75 "
04/10/2024 12:40:45 A,,8676,Both,8/18/2023,5502827RM-WA,Cummins QSL Turbo Assembly 2010-2014: OEM 5502827RX,"HE431VE, 24 Volt Actuator",,5502827RM-WA,Turbos,Turbo Assembly,,00840490519756,2010-2014,5502827RX,"2881929, 43252440, 5501502, 5501565",C4,Tamerx Diesel Products,Cummins,QSL,,,,,,,,Yes,"5502827RM-WA#C, 5502827RM-WA-C30",In House Core,Turbos,TamerX Turbo,5458389,Turbochargers,Turbochargers,One Million Miles or One Year," $ 4,495.00 "," $ 4,495.00 "," $ 2,295.00 "," $ 2,350.00 "," $ 2,350.00 ","$2,145.00",47.72%,49,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$3,596.00",0%," $ 4,495.00 ",15.00%," $ 3,820.75 ",15.00%," $ 3,820.75 ",25.00%," $ 3,371.25 ",10.00%," $ 4,045.50 ",15.00%," $ 3,820.75 "
09/08/2025 09:47:31 A,,8709,Both,8/29/2023,4352233RM-WA,Cummins QSL9-300 Turbo Assembly 2017-2022: OEM 4352333RX,w/ACTUATOR,Hyundai 330L,4352233RM-WA,Turbos,Turbo Assembly,,00840490519824,2017-2022,4352333RX,"3798638, 3798639, 3798640, 3798641, 3798642, 3798643, 3798643, 3798644, 3798645, 4352180, 4352181, 4352227, 4352228, 4352229, 4352230, 4352231, 4352232, 4352233, 4352234, 52327332, 5327333, 5327334, 5327335, 5327382, 5327383, 5327384, 5327385, 5327389,",C4,Tamerx Diesel Products,Cummins,QSL9-300,,,,,,,Remanufactured,Yes,"4352233RM-WA#C, 4352233RM-WA-C30",Vendor R & R,Turbos,TamerX Turbo,4352233RX,Turbochargers,Turbochargers,One Million Miles or One Year," $ 5,495.00 "," $ 5,495.00 "," $ 2,590.00 "," $ 2,600.00 "," $ 2,600.00 ","$2,895.00",52.68%,58,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$4,396.00",0%," $ 5,495.00 ",15.00%," $ 4,670.75 ",20.00%," $ 4,396.00 ",25.00%," $ 4,121.25 ",10.00%," $ 4,945.50 ",15.00%," $ 4,670.75 "
12/18/2023 10:16:03 P,,8712,Both,8/29/2023,4352233RM,Cummins QSL9-300 Turbo Assembly 2017-2022: OEM 4352233RX,,Hyundai 330L,4352233RM,Turbos,Turbo Assembly,,00840490519831,2017-2022,4352233RX,"3798638, 3798639, 3798640, 3798641, 3798642, 3798643, 3798643, 3798644, 3798645, 4352180, 4352181, 4352227, 4352228, 4352229, 4352230, 4352231, 4352232, 4352233, 4352234, 5327332, 5327333, 5327334, 5327335, 5327382, 5327383, 5327384, 5327385, 5327389, 53",C4,Tamerx Diesel Products,Cummins,QSL9-300,,,,,,,Remanufactured,Yes,"4352233RM#C, 4352233RM-C30",Vendor R & R,Turbos,TamerX Turbo,4352233RX,Turbochargers,Turbochargers,One Million Miles or One Year," $ 4,495.00 "," $ 4,495.00 "," $ 2,590.00 "," $ 2,600.00 "," $ 2,600.00 ","$1,895.00",42.16%,48,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$3,596.00",0%," $ 4,495.00 ",15.00%," $ 3,820.75 ",15.00%," $ 3,820.75 ",25.00%," $ 3,371.25 ",10.00%," $ 4,045.50 ",15.00%," $ 3,820.75 "
12/18/2023 10:16:08 P,,8715,Both,8/29/2023,5324134RM,Cummins ISL9-370 Turbo Assembly 2018-2021: OEM 5324134RX,,,5324134RM,Turbos,Turbo Assembly,,00840490519848,2018-2021,5324134RX,"5324134, 3798344, 4352519RX, 3796014, 5327341, 5327356",C3,Tamerx Diesel Products,Cummins,ISL9-370,,,,,,,Remanufactured,Yes,"5324134RM#C, 5324134RM-C30",Vendor R & R,Turbos,TamerX Turbo,4352519,Turbochargers,Turbochargers,One Million Miles or One Year," $ 3,510.00 "," $ 3,510.00 "," $ 2,590.00 "," $ 2,590.00 "," $ 2,590.00 ",$920.00,26.21%,48,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$2,808.00",0%," $ 3,510.00 ",15.00%," $ 2,983.50 ",20.00%," $ 2,808.00 ",25.00%," $ 2,632.50 ",10.00%," $ 3,159.00 ",15.00%," $ 2,983.50 "
12/07/2024 12:37:43 A,,8745,Both,9/4/2023,5602145RM-WA,Cummins X15 Turbo Assembly 2022-2024: OEM 5602145RX,Turbo Kit Wth Actuator,"EPA21, 450-500HP, CPL5535, 5779",5602145RM-WA,Turbos,Turbo Assembly,,00840490519947,2022-2024,5602145RX,"5602145, 5551140, 6317948, 6317895, 5551141",C1,Tamerx Diesel Products,Cummins,X15,,,,,,,Remanufactured,Yes,"5602145RM-WA#C, 5602145RM-WA-C30",Vendor R & R,Turbos,TamerX Turbo,5551142,Turbochargers,Turbochargers,One Million Miles or One Year," $ 5,270.00 "," $ 5,270.00 "," $ 2,200.00 "," $ 2,300.00 "," $ 2,300.00 ","$2,970.00",56.36%,58,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$4,216.00",0%," $ 5,270.00 ",15.00%," $ 4,479.50 ",20.00%," $ 4,216.00 ",25.00%," $ 3,952.50 ",10.00%," $ 4,743.00 ",15.00%," $ 4,479.50 "
09/11/2023 09:50:16 P,,8776,Both,9/8/2023,RE543094RM,John Deere 6068H Turbo Assembly 2012-2017: OEM RE543094,624K,24 Volt W/ Actuator,RE543094RM,Turbos,Turbo Assembly,,00840490520042,2012-2017,RE543094,"RE518400, DZ103311, DZ103300, DZ101200, DZ101123",,Tamerx Diesel Products,John Deere,6068H,,,,,,,Remanufactured,Yes,"RE543094RM#C, RE543094RM-C30",Vendor R & R,Turbos,TamerX Turbo,re543094,Turbochargers,Turbochargers,One Million Miles or One Year," $ 3,277.00 "," $ 3,277.00 "," $ 2,750.00 "," $ 2,750.00 "," $ 2,750.00 ",$527.00,16.08%,44,NO,YES," $ 1,200.00 ",,FIXED PRICE,"$2,621.60",0%," $ 3,277.00 ",15.00%," $ 2,785.45 ",20.00%," $ 2,621.60 ",25.00%," $ 2,457.75 ",10.00%," $ 2,949.30 ",15.00%," $ 2,785.45 "
09/11/2023 09:51:32 P,,8785,Both,9/11/2023,4090068RM-WA,"Cummins ISL, ISC Turbo Assembly 2008-2012: OEM 4090068RX",,,4090068RM-WA,Turbos,Turbo Assembly,,00840490520073,2008-2012,4090068RX,"4041098, 4039124, 4089637, 4044530, 4090052 3781176, 4045933, 5352911, 4039125",C3,Tamerx Diesel Products,Cummins,ISL,ISC,,,,,,Remanufactured,Yes,"4090068RM-WA#C, 4090068RM-WA-C30",In House Core,Turbos,TamerX Turbo,4039124H,Turbochargers,Turbochargers,One Million Miles or One Year," $ 4,270.00 "," $ 4,270.00 "," $ 1,875.00 "," $ 1,900.00 "," $ 1,900.00 ","$2,370.00",55.50%,58,NO,YES," $ 1,200.00 ",,FIXED PRICE,"$3,416.00",0%," $ 4,270.00 ",15.00%," $ 3,629.50 ",15.00%," $ 3,629.50 ",25.00%," $ 3,202.50 ",10.00%," $ 3,843.00 ",15.00%," $ 3,629.50 "
,,8791,Both,9/11/2023,5359597RM-WA,Cummins ISL-330 Turbo Assembly 2011-2013: OEM 5359597RX,,EPA10,5359597RM-WA,Turbos,Turbo Assembly,,00840490520097,2011-2013,5359597RX,"5359617, 5359618, 5359619, 5456087, 4352565, 5354672,",C3,Tamerx Diesel Products,Cummins,ISL-330,,,,,,,Remanufactured,Yes,"5359597RM-WA#C, 5359597RM-WA-C30",In House Core,Turbos,TamerX Turbo,5359597,Turbochargers,Turbochargers,One Million Miles or One Year," $ 4,270.00 "," $ 4,270.00 "," $ 1,875.00 "," $ 1,900.00 "," $ 1,900.00 ","$2,370.00",55.50%,58,NO,YES," $ 1,200.00 ",,FIXED PRICE,"$3,416.00",0%," $ 4,270.00 ",15.00%," $ 3,629.50 ",20.00%," $ 3,416.00 ",25.00%," $ 3,202.50 ",10.00%," $ 3,843.00 ",15.00%," $ 3,629.50 "
,,8805,Both,9/20/2023,5327166RM-WA,Cummins QSB 6.7L Turbo Assembly 2014-2017: OEM 5327166RX,300VG,,5327166RM-WA,Turbos,Turbo Assembly,,00840490520134,2014-2017,5327166RX,"378499, 3789451, 3789452, 3789453, 4352170, 4352171, 4352173, 4352450, 3798005, 5327152, 5644084",C2,Tamerx Diesel Products,Cummins,QSB 6.7L,,,,,,,Remanufactured,Yes,"5327166RM-WA#C, 5327166RM-WA-C30",Vendor R & R,Turbos,TamerX Turbo,3789499,Turbochargers,Turbochargers,One Million Miles or One Year," $ 4,080.00 "," $ 4,080.00 "," $ 1,500.00 "," $ 1,600.00 "," $ 1,600.00 ","$2,480.00",60.78%,53,NO,YES," $ 1,200.00 ",,FIXED PRICE,"$3,264.00",0%," $ 4,080.00 ",15.00%," $ 3,468.00 ",20.00%," $ 3,264.00 ",25.00%," $ 3,060.00 ",10.00%," $ 3,672.00 ",15.00%," $ 3,468.00 "
12/17/2023 11:20:14 P,,8845,Both,10/23/2023,5328112RM-WA,Cummins QSB 6.7L Turbo Assembly 2018-2021: OEM 5328112RX,24 Volt,Harsco Tamper 6700,5328112RM-WA,Turbos,Turbo Assembly,,00840490520271,2018-2021,5328112RX,"4352152RX, 4352153RX, 3789615, 5328111, 1700322635, 5328080, 5328081, 5328072, 3789599, 3789617, 5328112",C2,Tamerx Diesel Products,Cummins,QSB 6.7L,,,,,,,Remanufactured,Yes,"5328112RM-WA#C, 5328112RM-WA-C30",In House Core,Turbos,TamerX Turbo,5327360,Turbochargers,Turbochargers,One Million Miles or One Year," $ 4,200.00 "," $ 4,200.00 "," $ 2,200.00 "," $ 2,200.00 "," $ 2,200.00 ","$2,000.00",47.62%,58,NO,YES," $ 1,500.00 ",,FIXED PRICE,"$3,360.00",15.00%," $ 3,570.00 ",15.00%," $ 3,570.00 ",20.00%," $ 3,360.00 ",25.00%," $ 3,150.00 ",10.00%," $ 3,780.00 ",15.00%," $ 3,570.00 "
,,8876,Both,10/31/2023,4352377RM-WA,Cummins QSB 6.7L Turbo Assembly 2008-2011: OEM 4352377RX,HE351VE,,4352377RM-WA,Turbos,Turbo Assembly,,00840490520363,2008-2011,4352377RX,"2837389, 2837390, 2837391, 2837392, 2837613, 2839595, 2839596, 2839606, 2839607, 2839608, 2840845, 2840846, 2840847, 2840848, 2840849, 2842944, 2881932, 2881932NX, 2881932RX, 3768645, 3768646, 3768665, 3768666, 3768667, 3768668, 3768669, 3768670, 3768671,",C2,Tamerx Diesel Products,Cummins,QSB 6.7L,,,,,,,Remanufactured,Yes,"4352377RM-WA#C, 4352377RM-WA-C30",Vendor R & R,Turbos,TamerX Turbo,,Turbochargers,Turbochargers,One Million Miles or One Year," $ 3,320.00 "," $ 3,320.00 "," $ 2,600.00 "," $ 2,600.00 "," $ 2,600.00 ",$720.00,21.69%,65,NO,YES," $ 1,200.00 ",,FIXED PRICE,"$2,656.00",15.00%," $ 2,822.00 ",15.00%," $ 2,822.00 ",20.00%," $ 2,656.00 ",25.00%," $ 2,490.00 ",10.00%," $ 2,988.00 ",15.00%," $ 2,822.00 "
